# brand	model	width	height — portrait pixels; hand-maintained (not in the generated table)
Apple	iPhone SE (2nd generation)	750	1334
Apple	iPhone SE (3rd generation)	750	1334
Apple	iPhone 11	828	1792
Apple	iPhone 11 Pro	1125	2436
Apple	iPhone 11 Pro Max	1242	2688
Apple	iPhone 12 mini	1080	2340
Apple	iPhone 12	1170	2532
Apple	iPhone 12 Pro	1170	2532
Apple	iPhone 12 Pro Max	1284	2778
Apple	iPhone 13 mini	1080	2340
Apple	iPhone 13	1170	2532
Apple	iPhone 13 Pro	1170	2532
Apple	iPhone 13 Pro Max	1284	2778
Apple	iPhone 14	1170	2532
Apple	iPhone 14 Plus	1284	2778
Apple	iPhone 14 Pro	1179	2556
Apple	iPhone 14 Pro Max	1290	2796
Apple	iPhone 15	1179	2556
Apple	iPhone 15 Plus	1290	2796
Apple	iPhone 15 Pro	1179	2556
Apple	iPhone 15 Pro Max	1290	2796
Apple	iPhone 16	1179	2556
Apple	iPhone 16 Plus	1290	2796
Apple	iPhone 16 Pro	1206	2622
Apple	iPhone 16 Pro Max	1320	2868
Apple	iPhone 16e	1170	2532
Apple	iPhone 17	1206	2622
Apple	iPhone 17 Pro	1206	2622
Apple	iPhone 17 Pro Max	1320	2868
Apple	iPhone Air	1260	2736
Apple	iPad (9th generation)	1620	2160
Apple	iPad (10th generation)	1640	2360
Apple	iPad (A16)	1640	2360
Apple	iPad mini (6th generation)	1488	2266
Apple	iPad mini (A17 Pro)	1488	2266
Apple	iPad Air (4th generation)	1640	2360
Apple	iPad Air (5th generation)	1640	2360
Apple	iPad Air 11-inch (M2/M3)	1640	2360
Apple	iPad Air 13-inch (M2/M3)	2048	2732
Apple	iPad Pro 11-inch (1st–4th generation)	1668	2388
Apple	iPad Pro 12.9-inch (3rd–6th generation)	2048	2732
Apple	iPad Pro 11-inch (M4/M5)	1668	2420
Apple	iPad Pro 13-inch (M4/M5)	2064	2752
