# brand	model	width	height	dpi — portrait pixels; generated by gen, do not edit
1&1	AEOP525	720	1640	320
10.or	10or_G2	1080	2246	480
10.or	D	720	1280	320
10.or	E	1080	1920	480
10.or	G	1080	1920	480
3ATech	T10-8128	1200	1920	240
3nStar	Nustar65	720	1600	320
3Rtablet	VT-7GE	800	1280	240
8849	A101	1440	3200	560
8849	OB-A98	1440	3200	560
8849	OB-A99	1200	2652	480
8849	OB-P08	1200	1920	260
8849	OB-P12	1200	1920	260
8849	TANK MINI 1	540	1200	260
8849	TANK X	1080	2460	480
8849	TANK2	1080	2460	480
8849	TANK2pro	1080	2460	480
A1	A1 Alpha 20+	1080	2340	480
A1	A1 Smart N9	720	1440	320
A1	Ai-ES1059	800	1280	160
Aamra WE	A10	480	800	240
Aamra WE	A50	480	854	240
AAUW	M50	1200	2000	260
AAUW	M50_NEW	1200	2000	280
AAUW	M60_NEW	1200	1920	280
AAUW	T10	1200	1920	280
AAUW	T50_2023	1200	1920	280
AAUW	T60PRO	800	1280	160
AAUW	T60Pro	1200	1920	280
AAUW	T60Pro_2023	1200	1920	280
AAUW	T90	1200	1920	272
AAUW	T_50	1200	1920	240
Aaztec	THAZ-65/75/86/98/110 PD	2160	3840	480
ABCTECH	PG11	800	1280	213
ABCTECH	X20	1200	1920	320
ABIL	A8	1080	2400	480
abxylute	abxylute_one	1080	1920	320
Accent	C5L PLUS	480	854	240
Accent	fast-10	800	1280	213
Accent	FAST10	800	1280	213
Accent	Fast10	800	1280	240
Accent	Fast17	800	1280	213
Accent	FAST7	600	1024	213
Accent	FAST7 3G	720	1280	160
Accent	FAST73G	600	1024	213
Accent	PEARL A4 Lite	720	1440	320
Accent	Pearl A4 PLUS	720	1440	320
Accent	PEARL A6	720	1440	320
Accent	Pearl A6	720	1600	320
Accent	TANK_P55	720	1440	320
ACD Computers	ACD-Tab-10S	800	1280	213
ACE (Global)	AS0124	576	1280	213
ACE (Global)	AS0224	720	1600	320
ACE (Global)	AS0324	720	1650	320
ACE (Global)	AS0623	720	1650	320
ACE (Global)	BUZZ 3	720	1600	320
ACE (Global)	BUZZ 3 Plus	720	1600	320
ACE (Global)	BUZZ 4	720	1600	320
ACE (Global)	BUZZ 4 Prime	720	1560	280
ACE (Global)	BUZZ 4 Ultra	1080	2460	480
ACE (Global)	BUZZ 5 Ultra	1080	2400	480
